選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
秋山　翔吾,西武,0.323,143,685,603,195,24,82,15,77,4,96,0,3,0.403,0.534,0.937,8.16,7.77
田中　広輔,広島,0.262,143,675,572,150,10,60,32,75,17,118,6,6,0.362,0.383,0.745,5.22,5.23
源田　壮亮,西武,0.278,143,666,594,165,4,57,34,48,4,101,14,7,0.333,0.374,0.707,4.67,4.6
山川　穂高,西武,0.281,143,647,541,152,47,124,0,88,16,138,0,5,0.396,0.59,0.985,8.54,8.45
大島　洋平,中日,0.274,141,645,588,161,7,57,21,47,4,80,1,2,0.329,0.367,0.697,4.61,4.59
菊池　涼介,広島,0.233,139,642,557,130,13,60,10,51,3,111,30,5,0.301,0.355,0.656,3.7,3.68
浅村　栄斗,西武,0.31,143,640,565,175,32,127,4,68,2,105,0,18,0.383,0.527,0.91,7.05,6.92
中村　奨吾,ロッテ,0.284,143,639,552,157,8,57,39,60,22,94,0,11,0.374,0.393,0.767,5.51,5.43
糸原　健斗,阪神,0.286,143,637,531,152,1,35,6,86,7,73,9,5,0.39,0.362,0.752,5.67,5.53
山田　哲人,ヤクルト,0.315,140,637,524,165,34,89,33,106,4,119,0,8,0.432,0.582,1.014,9.69,9.36
西川　遥輝,日本ハム,0.278,140,636,528,147,10,48,44,96,3,103,7,1,0.391,0.405,0.796,6.88,6.7
京田　陽太,中日,0.235,143,632,578,136,4,44,20,19,6,111,26,12,0.266,0.306,0.572,2.4,2.45
岡本　和真,巨人,0.309,143,616,540,167,33,100,2,72,4,120,0,11,0.394,0.541,0.935,7.77,7.53
藤岡　裕大,ロッテ,0.23,143,611,535,123,5,42,14,44,5,97,26,9,0.294,0.305,0.599,2.73,2.77
上林　誠知,ソフトバンク,0.27,143,608,551,149,22,62,13,30,7,117,17,2,0.315,0.488,0.803,5.51,5.4
バレンティン,ヤクルト,0.268,142,602,514,138,38,131,1,85,0,121,0,15,0.37,0.533,0.904,6.74,6.74
中田　翔,日本ハム,0.265,140,599,540,143,25,106,0,43,3,81,0,24,0.316,0.463,0.778,4.59,4.77
吉田　正尚,オリックス,0.321,143,598,514,165,26,86,3,69,7,74,0,9,0.403,0.553,0.956,8.27,8.02
