打率,試合,打席数,打数,安打,打点,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
0.29,143,679,565,164,60,89,15,120,6,5,0.398,0.407,0.805,6.41,6.26
0.269,143,664,598,161,52,45,11,116,10,8,0.332,0.415,0.747,4.68,4.54
0.322,143,659,575,185,89,72,5,97,0,4,0.398,0.536,0.933,8.2,7.96
0.308,143,651,556,171,92,83,4,113,2,6,0.398,0.505,0.903,7.7,7.52
0.27,143,647,575,155,57,36,6,100,26,5,0.317,0.351,0.669,4.08,4.03
0.291,143,633,574,167,99,44,8,96,1,17,0.347,0.453,0.799,5.47,5.39
0.271,138,629,565,153,56,32,1,107,30,9,0.311,0.405,0.716,4.1,4.01
0.247,143,624,526,130,78,91,6,132,0,15,0.364,0.435,0.799,5.57,5.57
0.264,141,623,526,139,64,38,4,93,52,12,0.317,0.422,0.739,4.26,4.2
0.296,138,623,541,160,44,69,4,103,6,6,0.378,0.416,0.794,6.37,6.17
0.291,142,614,539,157,61,68,3,85,1,16,0.372,0.43,0.802,5.69,5.55
0.29,136,607,535,155,38,59,5,76,5,6,0.364,0.35,0.713,4.95,4.86
0.301,142,606,569,171,105,27,2,80,0,14,0.33,0.533,0.863,6.13,6.05
0.271,142,605,542,147,82,50,10,98,0,14,0.342,0.493,0.835,5.79,5.76
0.264,141,602,564,149,36,18,9,105,10,5,0.297,0.355,0.652,3.58,3.5
0.284,139,601,503,143,94,93,2,115,0,7,0.396,0.513,0.909,7.59,7.45
0.27,143,600,511,138,42,67,3,57,14,5,0.355,0.35,0.705,4.63,4.65
0.266,143,593,504,134,68,83,5,141,0,10,0.374,0.488,0.862,6.55,6.53
0.293,143,590,529,155,60,56,2,74,1,11,0.362,0.367,0.728,4.99,4.79
0.26,143,588,508,132,52,55,18,85,3,7,0.35,0.398,0.748,5.06,5.04
0.315,139,586,523,165,77,58,1,107,0,20,0.382,0.514,0.897,6.79,6.46
0.243,137,578,511,124,60,62,3,157,0,10,0.327,0.427,0.754,5.0,5.0
0.264,143,577,531,140,71,43,1,128,0,16,0.319,0.458,0.777,4.84,4.84
0.265,143,577,494,131,47,64,4,67,12,8,0.352,0.391,0.743,4.82,4.86
0.229,137,571,503,115,90,54,7,125,0,18,0.308,0.459,0.767,4.51,4.76
0.293,143,570,488,143,41,77,2,62,1,13,0.39,0.377,0.767,5.46,5.29
0.31,130,551,448,139,99,89,7,123,0,6,0.426,0.589,1.016,9.17,8.99
0.262,136,545,478,125,103,59,5,119,0,14,0.347,0.513,0.859,6.01,6.09
0.216,129,542,472,102,67,61,5,103,0,14,0.31,0.367,0.676,3.69,3.85
0.262,143,539,507,133,50,18,4,102,9,10,0.292,0.331,0.624,3.2,3.08
0.263,127,526,441,116,79,77,3,92,1,17,0.373,0.444,0.818,5.61,5.63
0.323,128,523,480,155,62,38,4,47,0,23,0.377,0.479,0.856,6.08,5.78
0.313,119,521,476,149,29,37,4,66,1,5,0.365,0.387,0.752,5.64,5.43
0.254,125,519,445,113,80,70,3,112,0,18,0.358,0.506,0.864,5.88,5.95
0.281,120,517,463,130,75,50,4,139,0,16,0.356,0.49,0.846,5.83,5.75
0.261,134,516,463,121,46,46,5,98,1,17,0.334,0.421,0.755,4.72,4.66
0.262,129,512,455,119,76,41,8,67,1,13,0.329,0.389,0.718,4.35,4.51
0.3,115,512,437,131,90,62,6,80,0,12,0.389,0.547,0.936,7.44,7.4
0.279,130,510,469,131,86,24,15,98,0,13,0.333,0.563,0.896,6.38,6.35
0.277,130,506,470,130,47,28,3,60,3,13,0.32,0.349,0.669,3.81,3.75
0.29,114,493,427,124,62,59,5,62,0,12,0.381,0.447,0.829,6.23,6.16
