選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
鈴木　大地,楽天,0.295,120,546,478,141,4,55,1,46,7,58,12,18,0.363,0.381,0.744,4.65,4.5
浅村　栄斗,楽天,0.28,120,529,432,121,32,104,1,91,4,111,0,15,0.408,0.56,0.969,7.84,7.74
大島　洋平,中日,0.316,118,525,462,146,1,30,16,47,4,51,9,5,0.382,0.381,0.763,5.64,5.41
西川　遥輝,日本ハム,0.306,115,523,422,129,5,39,42,92,2,84,4,5,0.43,0.396,0.825,7.48,7.28
近本　光司,阪神,0.293,120,519,474,139,9,45,31,30,7,61,7,4,0.344,0.416,0.759,5.46,5.27
源田　壮亮,西武,0.27,120,518,455,123,1,21,18,38,1,80,22,6,0.327,0.33,0.656,3.78,3.72
村上　宗隆,ヤクルト,0.307,120,515,424,130,28,86,11,87,3,115,0,8,0.427,0.585,1.012,9.05,8.67
柳田　悠岐,ソフトバンク,0.342,119,515,427,146,29,86,7,84,1,103,0,2,0.449,0.623,1.071,10.88,10.41
鈴木　誠也,広島,0.3,118,514,430,129,25,75,6,72,9,73,0,15,0.409,0.544,0.953,7.67,7.46
中田　翔,日本ハム,0.239,119,506,440,105,31,108,1,55,2,109,0,19,0.32,0.491,0.811,4.95,5.22
外崎　修汰,西武,0.247,120,500,433,107,8,43,21,54,4,87,7,7,0.335,0.353,0.688,4.29,4.3
岡本　和真,巨人,0.275,118,500,440,121,31,97,2,55,5,85,0,10,0.362,0.545,0.907,6.93,6.8
栗原　陵矢,ソフトバンク,0.243,118,500,440,107,17,73,5,38,5,90,11,7,0.307,0.42,0.727,4.26,4.4
中村　奨吾,ロッテ,0.249,120,499,422,105,8,49,6,52,8,97,15,6,0.341,0.365,0.706,4.42,4.39
吉田　正尚,オリックス,0.35,120,492,408,143,14,64,8,72,8,29,0,6,0.453,0.512,0.966,9.23,8.75
京田　陽太,中日,0.247,120,491,442,109,5,29,8,27,6,80,15,4,0.298,0.348,0.647,3.57,3.51
丸　佳浩,巨人,0.284,120,491,423,120,27,77,8,63,0,101,3,3,0.375,0.553,0.928,7.52,7.34
梶谷　隆幸,DeNA,0.323,109,482,433,140,19,53,14,45,1,85,1,4,0.387,0.527,0.913,7.53,7.22
大田　泰示,日本ハム,0.275,115,481,455,125,14,68,3,25,1,105,0,11,0.314,0.407,0.721,4.27,4.19
ソト,DeNA,0.252,114,480,428,108,25,78,0,44,3,103,0,12,0.323,0.47,0.793,5.08,5.23
坂本　勇人,巨人,0.289,115,479,412,119,19,65,4,62,0,85,1,9,0.379,0.5,0.879,6.83,6.67
大山　悠輔,阪神,0.288,116,471,423,122,28,85,1,41,5,96,1,15,0.357,0.56,0.918,6.54,6.39
島内　宏明,楽天,0.281,114,471,406,114,8,53,9,48,7,71,6,8,0.363,0.392,0.755,5.36,5.31
近藤　健介,日本ハム,0.34,108,467,371,126,5,60,4,89,2,72,0,6,0.465,0.469,0.934,9.2,8.8
渡邉　諒,日本ハム,0.283,117,465,414,117,6,39,4,43,0,81,5,9,0.348,0.377,0.725,4.7,4.65
ビシエド,中日,0.267,109,462,409,109,17,82,3,34,9,48,0,17,0.329,0.447,0.776,4.75,4.91
安田　尚憲,ロッテ,0.221,113,460,393,87,6,54,2,62,1,106,0,10,0.326,0.321,0.647,3.63,3.75
宮﨑　敏郎,DeNA,0.301,113,460,429,129,14,53,0,24,4,29,0,15,0.341,0.464,0.805,5.4,5.23
阿部　寿樹,中日,0.257,115,459,421,108,13,61,2,30,1,92,5,21,0.306,0.409,0.715,3.58,3.57
坂口　智隆,ヤクルト,0.246,114,458,398,98,9,36,4,47,7,60,3,8,0.334,0.354,0.688,4.09,4.17
田中　広輔,広島,0.251,112,454,378,95,8,39,8,55,5,86,12,1,0.351,0.37,0.721,4.9,4.96
堂林　翔太,広島,0.279,111,451,401,112,14,58,17,41,4,91,3,12,0.35,0.436,0.787,5.35,5.26
佐野　恵太,DeNA,0.328,106,451,402,132,20,69,0,42,4,58,0,13,0.395,0.532,0.927,7.49,7.25
マーティン,ロッテ,0.234,104,448,359,84,25,65,7,70,17,100,0,10,0.382,0.485,0.866,6.46,6.54
井上　晴哉,ロッテ,0.245,113,447,376,92,15,67,0,59,8,93,0,11,0.356,0.394,0.749,4.93,5.08
スパンジェンバーグ,西武,0.268,111,445,407,109,15,57,12,32,4,150,0,2,0.326,0.482,0.807,5.84,5.72
サンズ,阪神,0.257,110,443,377,97,19,64,2,61,3,106,0,11,0.363,0.451,0.814,5.68,5.7
高橋　周平,中日,0.305,108,438,394,120,7,46,1,39,2,70,0,13,0.368,0.426,0.794,5.52,5.28
小深田　大翔,楽天,0.288,112,437,378,109,3,31,17,42,4,59,11,5,0.364,0.381,0.745,5.05,4.93
松田　宣浩,ソフトバンク,0.228,116,431,395,90,13,46,1,32,1,76,0,2,0.285,0.382,0.668,3.9,4.01
菊池　涼介,広島,0.271,106,429,376,102,10,41,3,35,1,68,16,9,0.334,0.423,0.757,4.7,4.58
栗山　巧,西武,0.272,111,428,372,101,12,67,0,53,1,77,0,10,0.362,0.427,0.79,5.52,5.42
松山　竜平,広島,0.277,108,425,404,112,9,67,0,17,1,72,0,11,0.306,0.416,0.722,4.22,4.09
青木　宣親,ヤクルト,0.317,107,425,357,113,18,51,2,62,5,51,0,6,0.424,0.557,0.981,8.87,8.46
中村　晃,ソフトバンク,0.271,100,413,362,98,6,50,0,39,3,47,3,4,0.341,0.367,0.709,4.75,4.83
森　友哉,西武,0.251,104,405,358,90,9,38,4,38,3,67,2,7,0.325,0.38,0.705,4.32,4.4
ロメロ,楽天,0.272,103,404,356,97,24,63,0,38,8,108,0,8,0.354,0.539,0.893,6.61,6.54
エスコバー,ヤクルト,0.273,104,402,377,103,1,30,6,13,9,52,1,9,0.312,0.329,0.641,3.3,3.2
山川　穂高,西武,0.205,102,401,322,66,24,73,0,64,13,100,0,6,0.357,0.45,0.807,5.65,5.89
吉川　尚輝,巨人,0.274,112,389,354,97,8,32,11,30,3,60,2,6,0.336,0.398,0.734,4.87,4.71
山田　哲人,ヤクルト,0.254,94,384,334,85,12,52,8,48,0,83,0,6,0.346,0.419,0.766,5.15,5.14
ボーア,阪神,0.243,99,379,329,80,17,45,1,45,3,88,0,13,0.338,0.422,0.76,4.61,4.72
Ｔ－岡田,オリックス,0.256,100,377,328,84,16,55,5,40,4,87,0,11,0.34,0.457,0.797,5.11,5.23
